,pageid,RAKE_keywords
14,2996,"[('stadt leipzig', 0.00047619047619047673), ('sachsen leipzig', 0.001097308488612837), ('leipzig gegründet', 0.001149068322981367), ('leipzig 2006', 0.0014078674948240178), ('leipzig zentrum', 0.0015631469979296075), ('leipzig jährlich', 0.0015631469979296075), ('leipzig 2018', 0.0015631469979296075), ('leipzig befinden', 0.0016149068322981375), ('leipzig 2017', 0.0016149068322981375), ('leipzig 2015', 0.0016149068322981375)]"
15,507246,"[('stadt petersburg', 0.0004761904761904778), ('stadt „', 0.0009370199692780346), ('stadt –', 0.0010906298003072212), ('stadt befindet', 0.0012442396313364068), ('stadt befinden', 0.0018586789554531503), ('stadt erhielt', 0.002012288786482336), ('stadt politisch', 0.0021658986175115214), ('stadt lebten', 0.0021658986175115214), ('stadt gedreht', 0.0021658986175115214), ('stadt besitzt', 0.0021658986175115214)]"
16,13786,"[('stadt peking', 0.00047619047619047673), ('peking liegt', 0.0037728937728937727), ('peking befindet', 0.003956043956043956), ('stadt befindet', 0.004322344322344323), ('peking 1989', 0.004322344322344323), ('kommunisten peking', 0.004505494505494506), ('flughafen peking', 0.004505494505494506), ('straßenverkehr peking', 0.004688644688644689), ('peking verbindung', 0.004688644688644689), ('obwohl peking', 0.004688644688644689)]"
17,1192349,"[('badminton :', 0.00047619047619047673), ('satz gespielt', 0.0030402930402930405), ('netz gespielt', 0.0030402930402930405), ('badminton bietet', 0.0030402930402930405), ('speed badminton', 0.003406593406593407), ('deutschen badminton', 0.003406593406593407), ('ball –', 0.003406593406593407), ('übliche badminton', 0.0037728937728937727), ('österreichischen badminton', 0.0037728937728937727), ('wahrer badminton', 0.0037728937728937727)]"
18,14896,"[('orgel (', 0.0004761904761904756), ('register (', 0.0012810194500335337), ('einzelne (', 0.0031589537223340037), ('teilton (', 0.0034272300469483565), ('technik (', 0.0034272300469483565), ('lautstärke (', 0.0034272300469483565), ('( vereinzelt', 0.0034272300469483565), ('( hrsg', 0.0034272300469483565), ('( beispielsweise', 0.0034272300469483565), ('tonerzeugung (', 0.003561368209255533)]"
19,639,"[('stadt bonn', 0.00047619047619047673), ('bonn –', 0.0008390022675736963), ('bonn :', 0.0010204081632653062), (': bonn', 0.0010204081632653062), ('liegt bonn', 0.0011111111111111115), ('bonn befindet', 0.0011111111111111115), ('bonn 2011', 0.0012925170068027213), ('2011 bonn', 0.0012925170068027213), ('universität bonn', 0.0013832199546485258), ('bonn 2021', 0.0013832199546485258)]"
20,490101,"[('stadt mainz', 0.00047619047619047673), ('mainz stadt', 0.00047619047619047673), ('mainz gegründet', 0.002014652014652014), ('mainz befinden', 0.0024542124542124544), ('universität mainz', 0.0025274725274725273), ('standort mainz', 0.0025274725274725273), ('mainz 2009', 0.0026007326007326005), ('stadtteil mainz', 0.0026739926739926746), ('mainz stieg', 0.0026739926739926746), ('mainz hauptbahnhof', 0.0026739926739926746)]"
21,62162,"[('salzburg (', 0.00047619047619047673), ('stadt salzburg', 0.0005517762660619807), ('salzburg gegründet', 0.001534391534391535), ('salzburg museum', 0.001912320483749056), ('universität salzburg', 0.002063492063492064), ('salzburg steht', 0.002063492063492064), ('salzburg verfügt', 0.002139077853363568), ('salzburg sitz', 0.002139077853363568), ('salzburg mitte', 0.002139077853363568), ('salzburg gehört', 0.002139077853363568)]"
22,2268,"[('deutschen reich', 0.00047619047619047673), ('deutschen reiches', 0.001736694677871149), ('deutschen kaiser', 0.0020168067226890764), ('reich frieden', 0.0024369747899159666), ('„ reich', 0.002857142857142858), ('reich angesehen', 0.002857142857142858), ('reich gehörte', 0.002997198879551821), ('reich bildete', 0.002997198879551821), ('reich gehörten', 0.0032773109243697486), ('französischen reich', 0.0032773109243697486)]"
23,101972,"[('hongkong liegt', 0.00047619047619047673), ('hongkong leben', 0.0012483912483912485), ('hongkong gilt', 0.0012483912483912485), ('sonderverwaltungszone hongkong', 0.0015057915057915061), ('hongkong private', 0.0015057915057915061), ('hongkong besitzt', 0.0015057915057915061), ('hongkong ).', 0.0015057915057915061), ('anderem hongkong', 0.0015057915057915061), ('verbindet hongkong', 0.0017631917631917638), ('metropole hongkong', 0.0017631917631917638)]"
24,8787,"[('stadt augsburg', 0.0004761904761904756), ('augsburg (', 0.0005780494015788129), ('( augsburg', 0.0005780494015788129), ('augsburg –', 0.0021568627450980395), ('augsburg ).', 0.0021568627450980395), ('universität augsburg', 0.0022077922077922076), ('augsburg liegt', 0.0022077922077922076), ('augsburg ),', 0.0022077922077922076), ('augsburg befindet', 0.0023096511331805445), ('stadtgebiet augsburg', 0.002411510058568882)]"
25,2655245,"[('stadt potsdam', 0.00047619047619047673), ('potsdam :', 0.0024603174603174617), ('potsdam befindet', 0.002592592592592593), ('universität potsdam', 0.002857142857142858), ('strecke potsdam', 0.0029894179894179905), ('potsdam 20', 0.0029894179894179905), ('potsdam umfasst', 0.003121693121693122), ('potsdam entwickelte', 0.003121693121693122), ('potsdam ansässig', 0.003121693121693122), ('landkreis potsdam', 0.003121693121693122)]"
26,874,"[('linné verbrachte', 0.00047619047619047673), ('linné aufgrund', 0.00047619047619047673), ('schuf linné', 0.0007482993197278909), ('schrieb linné', 0.0007482993197278909), ('linné ’', 0.0007482993197278909), ('linné starb', 0.0007482993197278909), ('linné reisen', 0.0007482993197278909), ('linné professor', 0.0007482993197278909), ('linné gronovius', 0.0007482993197278909), ('linné gehörte', 0.0007482993197278909)]"
27,3733,"[('olympischen spiele', 0.00047619047619047673), ('olympischen sommerspiele', 0.0015966386554621859), ('mehrere ioc', 0.0021568627450980395), ('olympische spiele', 0.0024369747899159666), ('ioc vertreten', 0.002717086834733894), ('ioc hält', 0.002717086834733894), ('zahlreiche ioc', 0.002997198879551821), ('ioc strebte', 0.002997198879551821), ('ioc hielt', 0.002997198879551821), ('ioc führte', 0.002997198879551821)]"
